2025-08-28 10:34:15,672 - UARTProtocol - INFO - Auto-selecting port: COM3
2025-08-28 10:34:15,704 - UARTProtocol - INFO - Receive task started
2025-08-28 10:34:15,704 - UARTProtocol - INFO - Heartbeat task started
2025-08-28 10:34:15,704 - UARTProtocol - INFO - Connected to COM3 at 115200 baud
2025-08-28 10:34:16,892 - UARTProtocol - WARNING - Heartbeat missed (1)
2025-08-28 10:34:23,656 - UARTProtocol - INFO - Auto refresh enabled
2025-08-28 10:34:30,259 - UARTProtocol - INFO - Motor speed auto refresh enabled (20Hz)
2025-08-28 10:34:30,296 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,328 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,359 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,381 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,428 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,459 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,528 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,544 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,575 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,613 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,644 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,660 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,713 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,744 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,760 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,782 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:30,898 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,146 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,146 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,183 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,262 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,262 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,262 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,330 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,384 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,431 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,462 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,484 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,515 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,578 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,600 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
2025-08-28 10:34:31,616 - UARTProtocol - INFO - Motor speeds: L=0.00 RPM, R=0.00 RPM
